ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name,Region,Type
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 9, 'weights': 'uniform'}",minmax,168,True,True,1,26,177575.42595260756,1.2015873967023285,129004.7575213675,-0.0019235571425362252,-11129.7822222222,441100.95999999996,151699.41600611352,1.9137608178714245,107532.929827856,0.010666031670810594,5,rmse,37341.90683321222,,,,608360.8446136574,0.3843696031589247,522066.9323504275,-3.9833754712310947,False,DallasFtWorth-conventional,DallasFtWorth,conventional
prophet,prophet,,{},,168,False,True,1,26,190518.57913062346,1.8525138640942715,144889.2317001796,-0.15330327553431333,6715.299383254605,441100.95999999996,145593.70068512214,1.9836677694138811,111525.96474443792,0.07740886300778649,,,,True,,,875605.1741353688,0.5788366976075217,772286.9193366792,-9.323280794287408,False,DallasFtWorth-conventional,DallasFtWorth,conventional
prophet,prophet,,{},,169,False,True,0,26,4191.211331377939,0.11933936378073828,3051.848746309949,0.2026716963622761,22791.66500993442,31489.27,6826.515180541073,0.19654920425335384,3942.193750013232,0.5495331065752689,,,,True,,,4191.211331377939,0.11933936378073828,3051.848746309949,0.2026716963622761,True,DallasFtWorth-organic,DallasFtWorth,organic
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'alpha': 2.0, 'l1_ratio': 1.0}",,169,True,True,0,26,3399.831030401949,0.13100559718089988,2801.2361166952833,0.47534631375156944,32408.23703830666,31489.27,6315.050673045617,0.14579415596325457,3510.784264414877,0.6081077260920233,5,rmse,8267.356270338478,,,,3399.831030401949,0.13100559718089988,2801.2361166952833,0.47534631375156944,False,DallasFtWorth-organic,DallasFtWorth,organic
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},,169,True,True,0,26,3467.356607133576,0.13350663963108286,2876.4115880525856,0.4542985830691051,32554.12235205248,31489.27,6314.10694395749,0.14670030078408774,3526.2236232410614,0.608224847085269,5,rmse,8359.535286228029,,,,3467.356607133576,0.13350663963108286,2876.4115880525856,0.4542985830691051,False,DallasFtWorth-organic,DallasFtWorth,organic
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 13, 'weights': 'uniform'}",minmax,169,True,True,0,26,4431.514409328715,0.15489803997478496,3648.154585798815,0.10862101022541759,23266.29384615385,31489.27,8563.328465901159,0.2684317618475588,5502.971925766541,0.2793934134424587,5,rmse,2126.664041031479,,,,4431.514409328715,0.15489803997478496,3648.154585798815,0.10862101022541759,False,DallasFtWorth-organic,DallasFtWorth,organic
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,169,False,,0,26,4164.371498479745,0.16834650267228174,3618.279353738718,0.21285091911587994,29298.570687135245,31489.27,4988.330320537205,0.13904975471635828,2999.490056847027,0.7554749083735753,,,,,"['knn', 'gbt', 'svr', 'xgboost', 'elasticnet', 'mlr', 'mlp']","(0.20116738286332153, 0.18635697653007738, 0.17503048915283728, 0.16437646698776595, 0.13701583732465372, 0.13605284714134414, 0.0)",4164.371498479745,0.16834650267228174,3618.279353738718,0.21285091911587994,False,DallasFtWorth-organic,DallasFtWorth,organic
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,169,False,,0,26,4314.072438769342,0.1750408353722269,3762.6381753308087,0.15524080403201945,29036.436388972565,31489.27,4847.247121260229,0.13848113370860737,2957.2729308914722,0.7691109457704598,,,,,"['knn', 'gbt', 'svr', 'xgboost', 'elasticnet']",,4314.072438769342,0.1750408353722269,3762.6381753308087,0.15524080403201945,False,DallasFtWorth-organic,DallasFtWorth,organic
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 3, 'max_features': 'sqrt'}",minmax,169,True,True,0,26,5045.940524068537,0.1958771663253156,4314.223370786417,-0.15569255687301697,34088.409138414965,31489.27,1314.907185901329,0.04685601871771749,1003.9408913706628,0.9830096150189048,5,rmse,3544.340674069309,,,,5045.940524068537,0.1958771663253156,4314.223370786417,-0.15569255687301697,False,DallasFtWorth-organic,DallasFtWorth,organic
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 2},minmax,169,True,True,0,26,4922.5815607757095,0.19903174886477196,4322.727827524039,-0.09987644915913907,28537.7109375,31489.27,883.7124618522374,0.033645491300389685,691.5580375874127,0.9923257670029267,5,rmse,5648.351466160397,,,,4922.5815607757095,0.19903174886477196,4322.727827524039,-0.09987644915913907,False,DallasFtWorth-organic,DallasFtWorth,organic
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.01}",minmax,169,True,True,0,26,5890.136026832411,0.2476388668964341,5119.939096165943,-0.5747394620673947,26881.530984487337,31489.27,10175.797476768348,0.3055106501018225,6432.800073779288,-0.017536347724190104,5,rmse,4628.5308122607385,,,,5890.136026832411,0.2476388668964341,5119.939096165943,-0.5747394620673947,False,DallasFtWorth-organic,DallasFtWorth,organic
silverkite,silverkite,,{},,169,False,True,0,26,7977.605598259583,0.33779490618498836,7104.173076583687,-1.8887049456602032,26329.895665007483,31489.27,7841.632603380768,0.2597646522358127,4957.254062756094,0.40560145245095003,,,,True,,,7977.605598259583,0.33779490618498836,7104.173076583687,-1.8887049456602032,False,DallasFtWorth-organic,DallasFtWorth,organic
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'activation': 'relu', 'hidden_layer_sizes': (25, 25), 'solver': 'lbfgs', 'random_state': 20}",minmax,169,True,True,0,26,23577.660630490085,0.9913261890761843,23111.851893974726,-24.2324537804648,243.30086180363205,31489.27,3082.3044425340313,0.09570663563834751,2154.539900625411,0.9066393027584483,5,rmse,21382.73923557584,,,,23577.660630490085,0.9913261890761843,23111.851893974726,-24.2324537804648,False,DallasFtWorth-organic,DallasFtWorth,organic
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},,169,True,True,0,26,197541.19502899057,0.1757836059264902,155264.26485636565,-0.06330259226402934,582992.1850085258,950483.37,115762.14934938058,0.1137483052328949,90296.77972103041,0.5518989760506479,5,rmse,154283.7930207843,,,,197541.19502899057,0.1757836059264902,155264.26485636565,-0.06330259226402934,True,Denver-conventional,Denver,conventional
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'alpha': 1.3, 'l1_ratio': 1.0}",,169,True,True,0,26,202932.15914274042,0.17857418802474267,159301.65221169323,-0.12213025383726439,579241.5581116676,950483.37,117395.78893116475,0.11728013451103395,92744.49633676869,0.5391625016582634,5,rmse,138217.81446956424,,,,202932.15914274042,0.17857418802474267,159301.65221169323,-0.12213025383726439,False,Denver-conventional,Denver,conventional
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,169,False,,0,26,200841.66416233694,0.1794113864826939,161741.599302561,-0.09913020233592373,635752.8153683937,950483.37,46151.88192453428,0.04644885013190313,36599.19998334821,0.9287767802671879,,,,,"['knn', 'xgboost', 'elasticnet', 'mlr', 'gbt', 'mlp', 'svr']","(0.334620306895771, 0.2169278678390228, 0.20215907622932253, 0.15452282426247863, 0.0777428481525696, 0.014027076620835433, 0.0)",200841.66416233694,0.1794113864826939,161741.599302561,-0.09913020233592373,False,Denver-conventional,Denver,conventional
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,169,False,,0,26,200179.26994569515,0.18034930239874442,161840.33117159444,-0.09189209372703533,632766.4585577415,950483.37,53406.58547238118,0.054365635806087324,42665.08456875834,0.9046254728655265,,,,,"['knn', 'xgboost', 'elasticnet', 'mlr', 'gbt']",,200179.26994569515,0.18034930239874442,161840.33117159444,-0.09189209372703533,False,Denver-conventional,Denver,conventional
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 4, 'weights': 'distance'}",minmax,169,True,True,0,26,212273.4745816678,0.18572813871460342,167618.40921081728,-0.22781511823257783,655525.949986729,950483.37,0.0,0.0,0.0,1.0,5,rmse,93543.44982314741,,,,212273.4745816678,0.18572813871460342,167618.40921081728,-0.22781511823257783,False,Denver-conventional,Denver,conventional
silverkite,silverkite,,{},,169,False,True,0,26,195169.6487676835,0.18916683688200078,152338.08106928613,-0.03792525722066964,759804.8694570903,950483.37,148438.3918427137,0.1491698013781465,113901.88097665357,0.2013640454628317,,,,True,,,195169.6487676835,0.18916683688200078,152338.08106928613,-0.03792525722066964,False,Denver-conventional,Denver,conventional
prophet,prophet,,{},,169,False,True,0,26,203944.12907438588,0.19176504483062665,168943.37842460547,-0.13334970232233334,656651.8368205659,950483.37,131807.10846819173,0.13920634701612677,106780.75246666698,0.37029949373413895,,,,True,,,203944.12907438588,0.19176504483062665,168943.37842460547,-0.13334970232233334,False,Denver-conventional,Denver,conventional
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.01}",minmax,169,True,True,0,26,199993.37070847652,0.1938686029922425,160485.4521254769,-0.08986503411760194,774266.9278024028,950483.37,173766.4448635287,0.1688680979385912,132226.37374132403,-0.009658729675093847,5,rmse,206398.73233219062,,,,199993.37070847652,0.1938686029922425,160485.4521254769,-0.08986503411760194,False,Denver-conventional,Denver,conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 3},minmax,169,True,True,0,26,188488.88070346913,0.19559172330914334,161227.1748076923,0.03191611629765789,737556.8125,950483.37,5261.161649405103,0.005323820294925421,3972.241092657345,0.9990744368310885,5,rmse,133236.8371795366,,,,188488.88070346913,0.19559172330914334,161227.1748076923,0.03191611629765789,False,Denver-conventional,Denver,conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 3, 'max_features': None}",minmax,169,True,True,0,26,253201.05304855693,0.24071260678289105,212592.89462912848,-0.746918058662819,608515.7871817849,950483.37,39641.99680417121,0.0423204560782438,31945.877502597818,0.9474522872417859,5,rmse,180178.89178303722,,,,253201.05304855693,0.24071260678289105,212592.89462912848,-0.746918058662819,False,Denver-conventional,Denver,conventional
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'activation': 'relu', 'hidden_layer_sizes': (25,), 'solver': 'lbfgs', 'random_state': 20}",minmax,169,True,True,0,26,761944.1727255323,0.9069247655120154,746001.6824521077,-14.819320434355443,136279.74084124385,950483.37,115763.20302711273,0.11379138518724456,90319.19602686302,0.5518908187000434,5,rmse,201667.90858301072,,,,761944.1727255323,0.9069247655120154,746001.6824521077,-14.819320434355443,False,Denver-conventional,Denver,conventional
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.01}",minmax,169,True,True,0,26,8141.388825389873,0.33047243389541175,6997.384824397917,-0.020906266661580908,26686.632113701096,24825.5,31096.135369487627,0.3738495012617797,14703.618229418746,-0.07601610435977979,5,rmse,11692.821371483784,,,,8141.388825389873,0.33047243389541175,6997.384824397917,-0.020906266661580908,True,Denver-organic,Denver,organic
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 13, 'weights': 'uniform'}",minmax,169,True,True,0,26,11007.315996196865,0.36510741601247976,8519.906449704144,-0.8661723256506477,41065.13461538462,24825.5,24576.903229570267,0.4421121152644338,14270.11603550296,0.3278592073548089,5,rmse,23726.61175684597,,,,11007.315996196865,0.36510741601247976,8519.906449704144,-0.8661723256506477,False,Denver-organic,Denver,organic
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},,169,True,True,0,26,16095.814619847542,0.4182679087545805,10715.818942083715,-2.9903849991866394,34333.06109023839,24825.5,17759.539223407555,0.34535605922851187,10421.615140136266,0.6490305442402502,5,rmse,44046.08404653681,,,,16095.814619847542,0.4182679087545805,10715.818942083715,-2.9903849991866394,False,Denver-organic,Denver,organic
prophet,prophet,,{},,169,False,True,0,26,16391.610546310454,0.518202344639882,12073.678595660025,-3.1383968049580933,45348.12070028676,24825.5,20261.810946370053,0.3324484557177019,11519.627168969766,0.5416099723504517,,,,True,,,16391.610546310454,0.518202344639882,12073.678595660025,-3.1383968049580933,False,Denver-organic,Denver,organic
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 2, 'max_features': None}",minmax,169,True,True,0,26,25200.64746044593,0.73252948210248,17960.086859483137,-8.781653487487144,101031.77825700273,24825.5,6799.40963865721,0.1759276877104428,4901.6553246583835,0.9485543868150376,5,rmse,53912.61903526126,,,,25200.64746044593,0.73252948210248,17960.086859483137,-8.781653487487144,False,Denver-organic,Denver,organic
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 2},minmax,169,True,True,0,26,23134.45529981383,0.7684714427945244,19429.270802142804,-7.2434201059030645,51693.37109375,24825.5,3318.914529441195,0.09472068443545555,2419.8283055616257,0.9877426081067451,5,rmse,22737.4197931261,,,,23134.45529981383,0.7684714427945244,19429.270802142804,-7.2434201059030645,False,Denver-organic,Denver,organic
silverkite,silverkite,,{},,169,False,True,0,26,23903.202211085954,0.7978630865919313,15435.415103258214,-7.800372333921482,19556.352530674147,24825.5,21434.5711393478,0.3712947876446483,12275.682543568555,0.4870107781496392,,,,True,,,23903.202211085954,0.7978630865919313,15435.415103258214,-7.800372333921482,False,Denver-organic,Denver,organic
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'activation': 'relu', 'hidden_layer_sizes': (25,), 'solver': 'lbfgs', 'random_state': 20}",pt,169,True,True,0,26,23126.077987896944,0.8218017008139712,20854.774598882508,-7.237451069916576,20348.649283175833,24825.5,1010.5994881310183,0.027121800155117906,615.7371865343637,0.9988635140194442,5,rmse,17085.67101712601,,,,23126.077987896944,0.8218017008139712,20854.774598882508,-7.237451069916576,False,Denver-organic,Denver,organic
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,169,False,,0,26,84675.20944254023,3.602315533988879,84214.20186112169,-109.43365222337142,-43180.594517822625,24825.5,15940.803403890286,0.24347413252547886,8134.745333766975,0.7172345482686506,,,,,"['elasticnet', 'svr', 'mlp', 'xgboost', 'knn']",,84675.20944254023,3.602315533988879,84214.20186112169,-109.43365222337142,False,Denver-organic,Denver,organic
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,169,False,,0,26,97183.94938074588,4.155436373256529,96792.4329037998,-144.4715158203273,-57333.37687300219,24825.5,16748.9818200763,0.2502727770628053,8449.06581279681,0.687836043002678,,,,,"['elasticnet', 'svr', 'mlp', 'xgboost', 'knn', 'mlr', 'gbt']","(0.23380310095661053, 0.21526393902825192, 0.18776769031211843, 0.15895140574323996, 0.15390786289490174, 0.05030600106487732, 0.0)",97183.94938074588,4.155436373256529,96792.4329037998,-144.4715158203273,False,Denver-organic,Denver,organic
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'alpha': 0.5, 'l1_ratio': 0.5}",minmax,169,True,True,0,26,392856.2208428303,17.138981874146786,392759.1757885594,-2376.1475826136607,-355696.75969512464,24825.5,25631.295888544853,0.42453069843175584,13594.448470724614,0.2689500307228925,5,rmse,8056.728540493727,,,,392856.2208428303,17.138981874146786,392759.1757885594,-2376.1475826136607,False,Denver-organic,Denver,organic
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'alpha': 2.0, 'l1_ratio': 1.0}",,169,True,True,0,26,119898.94138462216,0.2129925621279492,89674.29675752457,0.2584120489173545,291445.51627135277,477637.43,81881.89429803396,0.17407447011233657,62423.81556699211,0.43563714227777306,5,rmse,132560.8758011052,,,,119898.94138462216,0.2129925621279492,89674.29675752457,0.2584120489173545,True,Detroit-conventional,Detroit,conventional
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},,169,True,True,0,26,117232.2955481048,0.22301961303655324,90858.46717295573,0.2910322079707365,293250.352209568,477637.43,80474.88090976949,0.17096207631119562,61286.907163981065,0.45486590355896506,5,rmse,139210.89757096407,,,,117232.2955481048,0.22301961303655324,90858.46717295573,0.2910322079707365,False,Detroit-conventional,Detroit,conventional
avg,combo,,"{'how': 'simple', 'models': 'top_5'}",,169,False,,0,26,117929.82729495561,0.22828845320539315,92145.61644691386,0.2825703970220277,329708.53200623073,477637.43,65515.47229030317,0.1337572424226687,48538.16709713467,0.6386979601259688,,,,,"['knn', 'svr', 'elasticnet', 'mlr', 'xgboost']",,117929.82729495561,0.22828845320539315,92145.61644691386,0.2825703970220277,False,Detroit-conventional,Detroit,conventional
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,169,False,,0,26,134724.6162366671,0.23539672609022605,102128.69033391528,0.06367659787932056,290623.77822915366,477637.43,69547.57527881114,0.14130796802338644,51348.643602791395,0.5928573042654963,,,,,"['knn', 'svr', 'elasticnet', 'mlr', 'xgboost', 'mlp', 'gbt']","(0.232929126100763, 0.20706994930488584, 0.1732031131285594, 0.1673827357569006, 0.12869900656013, 0.0907160691487611, 0.0)",134724.6162366671,0.23539672609022605,102128.69033391528,0.06367659787932056,False,Detroit-conventional,Detroit,conventional
prophet,prophet,,{},,169,False,True,0,26,123586.22908224113,0.24748476680927806,97812.06061079491,0.21209813248514098,351882.62048357184,477637.43,86649.63285368007,0.18916675221550153,66925.86622189982,0.3188322360738992,,,,True,,,123586.22908224113,0.24748476680927806,97812.06061079491,0.21209813248514098,False,Detroit-conventional,Detroit,conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 2},minmax,169,True,True,0,26,124502.86865712058,0.26149202214395484,91847.88639423078,0.20036704561277874,450742.0625,477637.43,20597.734222461597,0.045909780429073774,15814.470078671327,0.9642873924422553,5,rmse,183408.65741905686,,,,124502.86865712058,0.26149202214395484,91847.88639423078,0.20036704561277874,False,Detroit-conventional,Detroit,conventional
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 2, 'weights': 'uniform'}",minmax,169,True,True,0,26,134203.59765882025,0.2626488130370808,111309.94173076925,0.07090465447370031,275611.605,477637.43,74585.11732077599,0.1354730353062657,50132.993671328666,0.5317400486097527,5,rmse,64321.43682142431,,,,134203.59765882025,0.2626488130370808,111309.94173076925,0.07090465447370031,False,Detroit-conventional,Detroit,conventional
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.01}",minmax,169,True,True,0,26,150978.4392169215,0.278128866728725,111034.93977444239,-0.175876823672811,337493.1240502328,477637.43,110784.34449436891,0.20840918980349404,76961.69194020578,-0.03309306449180305,5,rmse,93866.6153661279,,,,150978.4392169215,0.278128866728725,111034.93977444239,-0.175876823672811,False,Detroit-conventional,Detroit,conventional
silverkite,silverkite,,{},,169,False,True,0,26,134089.79284926993,0.28515345886822224,101671.14262033309,0.07247973425953214,333430.35197097843,477637.43,75058.71277531503,0.1626493024823628,56708.1103530114,0.48888002075525805,,,,True,,,134089.79284926993,0.28515345886822224,101671.14262033309,0.07247973425953214,False,Detroit-conventional,Detroit,conventional
