ModelNickname,Estimator,Xvars,HyperParams,Scaler,Observations,Tuned,DynamicallyTested,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,weights,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name,Region,Type
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 3},minmax,168,True,True,1,26,64497.19565609451,3.234564524069874,47987.44547457182,-1.2632776412095548,-40571.00390625,44091.850000000006,1043.873205470429,0.2508826326470177,782.8661317809203,0.999011618593084,5,rmse,63245.72383191853,,,,380755.20401821303,2.852316328327075,314333.2170333158,-115.06254387966717,False,Albany-conventional,Albany,conventional
mlp,mlp,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'activation': 'tanh', 'hidden_layer_sizes': (25, 25), 'solver': 'adam', 'random_state': 20}",minmax,168,True,True,1,26,1517.154558273883,1.0008247138407396,1114.4363214800355,-0.001254350632296175,0.5285161830852891,-832.6299999999997,823.1786635474625,1.0182991899929084,525.7356200319775,0.006631430197398092,5,rmse,570.5810150195565,,,,1319.6836906961748,0.21234702178261047,912.0146199960359,-0.09113541944623393,True,Albany-organic,Albany,organic
silverkite,silverkite,,{},,168,False,True,1,26,1517.202059603394,1.0038990031462005,1115.4713555093563,-0.0013170491321006228,5.443023041231027,-832.6299999999997,771.1786286854001,1.0451897028321373,487.73045959467794,0.00027324491238067683,,,,True,,,1303.547765630045,0.21475418106303507,906.679153496109,-0.06461566890429005,False,Albany-organic,Albany,organic
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{},,168,True,True,1,26,1514.6419559044818,0.9717073952152874,1085.2594016836958,0.0020593141944177384,27.822083645500243,-832.6299999999997,667.8679600273151,3.3567240519684884,481.109973418181,0.3461119160457141,5,rmse,1048.8967855050398,,,,1414.0094493415074,0.23385645454290444,1000.9558706722211,-0.2526899064022414,False,Albany-organic,Albany,organic
prophet,prophet,,{},,168,False,True,1,26,1536.0910050255166,1.0364522042580482,1148.0956639813317,-0.026404756002676333,193.55230563620455,-832.6299999999997,759.4185091780791,1.9309638578888877,494.078588497311,0.030531506680126053,,,,True,,,1402.176684805098,0.28934742760181037,1064.5163111217955,-0.23181201986836464,False,Albany-organic,Albany,organic
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']",{'max_depth': 3},minmax,168,True,True,1,26,1697.6777679188122,2.0800628161077084,1362.7056136498084,-0.25370479346566377,279.22454833984375,-832.6299999999997,18.384221745484833,0.16091698363485288,13.800967380228188,0.9995045353161724,5,rmse,702.9132652571377,,,,2464.6912991947124,0.4773049615336725,2058.190622476431,-2.8059582381249526,False,Albany-organic,Albany,organic
svr,svr,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'kernel': 'linear', 'C': 0.5, 'epsilon': 0.01}",minmax,168,True,True,1,26,1539.8687080633313,1.1734600344180846,1168.5750466715422,-0.03145943082903324,220.37950220326968,-832.6299999999997,827.9047441788437,1.2264508979834874,523.5185893583227,-0.004807682649977885,5,rmse,585.3637932659807,,,,3262.6915752966156,0.8195670247291835,2711.859706109567,-5.669464999207512,False,Albany-organic,Albany,organic
knn,knn,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'n_neighbors': 2, 'weights': 'uniform'}",minmax,168,True,True,1,26,1518.6087547330692,1.2109068353620924,1156.5146153846154,-0.003174680137500996,124.13499999999988,-832.6299999999997,496.9789772004701,1.9865418820694347,359.63626760563386,0.6379252492703436,5,rmse,543.3262611543823,,,,3561.4651750253406,0.9243403307773337,3083.7594230769246,-6.9468745776097,False,Albany-organic,Albany,organic
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR4', 'AR5', 'AR13', 'AR26', 'weeksin', 'weekcos', 'month_1', 'month_10', 'month_11', 'month_12', 'month_2', 'month_3', 'month_4', 'month_5', 'month_6', 'month_7', 'month_8', 'month_9', 'quarter_1', 'quarter_2', 'quarter_3', 'quarter_4', 'year', 't']","{'max_depth': 2, 'max_features': 'sqrt'}",minmax,168,True,True,1,26,1665.1963846843346,1.3467254765492416,1196.3024078313626,-0.20618988527436222,-1057.4576387526592,-832.6299999999997,328.9543857978258,1.1830605315430536,245.7498535216509,0.841366989407622,5,rmse,694.1908514934906,,,,5065.669377432933,1.1486256998851128,4508.233024856676,-15.077282277432769,False,Albany-organic,Albany,organic
weighted,combo,,"{'how': 'weighted', 'models': 'top_7', 'rebalance_weights': 0}",,168,False,,1,26,17625.967570568337,38.36701939667304,17559.89653663462,-134.14211055398408,17455.364088985294,-832.6299999999997,508.92154452154693,1.0411851111029375,351.92639053493633,0.6203146175128529,,,,,"['elasticnet', 'knn', 'mlp', 'svr', 'gbt', 'xgboost', 'mlr']","(0.1968557243397725, 0.1890249151551275, 0.17883478877551842, 0.17330773909758013, 0.13261900338764507, 0.12935782924435632, 0.0)",270203.5366502369,64.92532674799003,236151.80699121795,-45741.61756351435,False,Albany-organic,Albany,organic
