ModelNickname,Estimator,Xvars,HyperParams,Scaler,Tuned,Integration,TestSetLength,TestSetRMSE,TestSetMAPE,TestSetMAE,TestSetR2,LastTestSetPrediction,LastTestSetActual,InSampleRMSE,InSampleMAPE,InSampleMAE,InSampleR2,ValidationSetLength,ValidationMetric,ValidationMetricValue,univariate,models,integration,LevelTestSetRMSE,LevelTestSetMAPE,LevelTestSetMAE,LevelTestSetR2,best_model,Name,Region,Type
avg,combo,,"{'how': 'simple', 'models': 'top_5', 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,118290.2466910981,3.2370007854483758,81976.28991105157,-0.001626246196869685,-12440.122902319115,-105804.2699999999,87794.95847193272,2.9168320911911176,67829.62799776622,0.2543546200511133,,,,,"['elasticnet', 'knn', 'mlp', 'prophet', 'mlr']",,227716.70914821624,0.29792769245955514,187688.74678846862,-2.076358353081087,False,Atlanta-conventional,Atlanta,conventional
prophet,prophet,,{'n_changepoints': 4},,True,1,26,113897.55021586317,2.4247616413368593,84594.59677945124,0.07138309128225484,-31652.023877774474,-105804.2699999999,97968.37432687898,2.459098583505592,76506.86886631923,0.07153619327474448,13,rmse,49313.05187305463,True,,,206700.98161554267,0.30136344727839437,181348.8340293958,-1.5347329099954234,False,Atlanta-conventional,Atlanta,conventional
knn,knn,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'n_neighbors': 12, 'weights': 'uniform'}",minmax,True,1,26,118278.72716125949,4.763340994225474,80735.72288461539,-0.0014311717603183727,4110.123333333332,-105804.2699999999,95200.3272534333,1.867904426629604,74898.95371031745,0.1232615396896447,13,rmse,42756.99249099368,,,,326844.68872488965,0.4458645055486428,276910.2488141025,-5.337675363474825,False,Atlanta-conventional,Atlanta,conventional
weighted,combo,,"{'how': 'weighted', 'models': ('mlr', 'knn', 'xgboost', 'gbt', 'elasticnet', 'mlp', 'prophet'), 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,141956.4382776576,17.100572788927806,108061.50838968506,-0.44250726663171247,-7946.071337240619,-105804.2699999999,47612.72047715731,2.289867866501506,37630.22363872527,0.7806997285362645,,,,,"['elasticnet', 'knn', 'mlp', 'prophet', 'mlr', 'xgboost', 'gbt']",,974790.2147913867,1.4613142834052275,871540.7948706336,-55.37277934538856,False,Atlanta-conventional,Atlanta,conventional
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{'max_depth': 5},minmax,True,1,26,155401.62936456827,23.06895766469565,118582.9082046274,-0.7286973135652675,7701.1259765625,-105804.2699999999,359.1467182356333,0.04408039508749405,238.7142707970017,0.9999875222298739,13,rmse,75705.03070656999,,,,1101124.7839046835,1.622289065592255,971470.4505573919,-70.93167956345684,False,Atlanta-conventional,Atlanta,conventional
gbt,gbt,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'max_depth': 2, 'n_estimators': 100}",minmax,True,1,26,181765.70496536323,25.95523667319548,148166.56533817283,-1.3650030841240093,-10370.391700509179,-105804.2699999999,47522.239773933004,3.618207439725734,37271.376078399175,0.7815324299158414,13,rmse,101891.69817792339,,,,1587680.62340176,2.4175978852919187,1430922.6537002327,-148.54552250597368,False,Atlanta-conventional,Atlanta,conventional
elasticnet,elasticnet,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'alpha': 10.0, 'l1_ratio': 0.0}",scale,True,1,26,2902.132617845076,0.9992246246810839,2485.6939921912353,0.004120476538344908,105.34428301103699,-297.59999999999854,3820.1297855376215,1.0545332372968832,2616.1508112776073,0.002450720791411176,13,rmse,3978.9066932933742,,,,2773.5416515680718,0.14671777538084535,2204.4898693532036,0.18560167591621735,True,Atlanta-organic,Atlanta,organic
avg,combo,,"{'how': 'simple', 'models': 'top_5', 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,3018.5256919095955,1.0389675411717942,2571.307250298267,-0.07736297757072008,126.12339071486959,-297.59999999999854,3039.439930306344,1.3969008915183112,2121.6881785329265,0.3685117812620584,,,,,"['mlp', 'elasticnet', 'knn', 'mlr', 'prophet']",,2739.7791499179534,0.1523304569700416,2226.042535115376,0.20530844231291068,False,Atlanta-organic,Atlanta,organic
mlr,mlr,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{},,True,1,26,2997.3151175261037,1.0889317555164815,2575.4179774506047,-0.06227534639650156,-99.92291678488255,-297.59999999999854,3499.3509531598133,2.234203986103627,2469.033256076682,0.16294667819356123,13,rmse,4115.589211742095,,,,3482.83204377402,0.22320210510568275,2928.7475163655563,-0.28419965764845867,False,Atlanta-organic,Atlanta,organic
knn,knn,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']","{'n_neighbors': 3, 'weights': 'uniform'}",minmax,True,1,26,3428.3098098281134,1.3437976880708307,2841.8496153846154,-0.38973634924489664,2271.9499999999994,-297.59999999999854,3059.6410680381223,1.6471599316034282,2173.358472222222,0.36008972081792123,13,rmse,4021.802953340703,,,,4060.61180640154,0.24010010557223166,3170.6098717948676,-0.745622908815905,False,Atlanta-organic,Atlanta,organic
prophet,prophet,,{'n_changepoints': 1},,True,1,26,3409.0251798407758,1.2943418920282324,2713.488624275692,-0.37414547520300356,-1562.6055163806586,-297.59999999999854,3653.218507766635,2.0084724174841746,2599.9454542393223,0.08771733692382577,13,rmse,4122.654390170186,True,,,5162.608908600749,0.31201802346272406,4206.3073631636835,-1.8216681739452332,False,Atlanta-organic,Atlanta,organic
xgboost,xgboost,"['AR1', 'AR2', 'AR3', 'AR26', 'week', 'weeksin', 'weekcos', 'month', 'monthsin', 'monthcos', 'quarter', 'quartersin', 'quartercos', 'year', 't']",{'max_depth': 4},minmax,True,1,26,7008.052520753603,3.5488593069802388,5892.63384380634,-4.807202761577856,304.1925964355469,-297.59999999999854,85.42578346849619,0.07766122428284869,60.15205862431291,0.9995011659798806,13,rmse,7481.71114236229,,,,6204.680641266504,0.33798073142933904,4829.6747641695465,-3.0757388840871007,False,Atlanta-organic,Atlanta,organic
weighted,combo,,"{'how': 'weighted', 'models': ('mlr', 'knn', 'xgboost', 'gbt', 'elasticnet', 'mlp', 'prophet'), 'determine_best_by': 'ValidationMetricValue'}",,False,1,26,5286.123283471584,2.7510550377484644,4368.133846201893,-2.304051965591215,385.0952751917913,-297.59999999999854,1316.7025927831305,0.7219227731339005,986.6249095395655,0.8814904074966066,,,,,"['mlp', 'elasticnet', 'knn', 'mlr', 'prophet', 'xgboost', 'gbt']",,6248.367577261113,0.41758402469074424,5466.502647709103,-3.133335204990817,False,Atlanta-organic,Atlanta,organic
